id,customer_id,create_timestamp,name,name_lower,description,archiving_timestamp
704,1,2019-01-15 19:15:41,0229 - BAR Upgrade,0229 - bar upgrade,,
705,1,2019-01-15 19:26:42,0230 - Incontext & BPI Automation,0230 - incontext & bpi automation,,
706,1,2019-01-15 19:58:02,0233 - Hadoop Training,0233 - hadoop training,,
707,1,2019-01-15 20:18:30,0232 - MTS In-Context / GM Integration,0232 - mts in-context / gm integration,,
708,49,2019-01-18 16:28:55,0005 -  Ad-ops Segmentation,0005 -  ad-ops segmentation,,
709,49,2019-02-02 17:21:32,0011 - Physical Data Movel Graph MVP,0011 - physical data movel graph mvp,,
710,49,2019-02-04 02:23:38,0013 - Client Web Analytics Semantic Layer,0013 - client web analytics semantic layer,,
711,1,2019-02-06 15:17:39,0223 - CPM Evolution Ph 2,0223 - cpm evolution ph 2,,
712,1,2019-02-06 15:19:46,0223 - CASL Enhancements 2019,0223 - casl enhancements 2019,,
713,1,2019-02-06 15:22:09,0223 - Oracle 12 Upgrade,0223 - oracle 12 upgrade,,
714,1,2019-02-11 01:46:22,0237 - BI - Bell Media Analytics - 2019,0237 - bi - bell media analytics - 2019,,
715,1,2019-02-11 14:25:34,0235 - AI ML - Dynamic Call Prediction & Routing,0235 - ai ml - dynamic call prediction & routing,,
716,8,2019-02-11 19:58:03,0001 - Internal Project - Jazz HR Reports,0001 - internal project - jazz hr reports,,
717,8,2019-02-11 20:35:24,0001 - Internal Project - CEDW changes for new Organizational Structure 2019,0001 - internal project - cedw changes for new organizational structure 2019,,
718,1,2019-02-12 19:21:52,0219 - BI EMM 2019,0219 - bi emm 2019,,
719,49,2019-02-13 14:15:41,0012 - ETL Developer,0012 - etl developer,,
720,44,2019-02-13 14:32:37,0008 - Bond Starz & Crave Plus Enhancements,0008 - bond starz & crave plus enhancements,,
721,1,2019-02-19 15:37:32,0225 - Amdocs Billing Systems,0225 - amdocs billing systems,,
722,1,2019-02-19 16:01:21,0224 - Customer Authentication,0224 - customer authentication,,
723,49,2019-02-21 13:17:03,Engagement Management,engagement management,,
724,1,2019-02-21 19:02:16,0238 - Horizon Mobile 2019,0238 - horizon mobile 2019,,
725,1,2019-02-21 19:14:17,0212 - D2D / DSB – MSTR Development CL01,0212 - d2d / dsb – mstr development cl01,,
726,1,2019-02-21 19:20:21,0239 - Pulse Support 2019,0239 - pulse support 2019,,
727,1,2019-02-26 16:19:33,0238 - Horizon Mobile 2019 Transition to Cesar,0238 - horizon mobile 2019 transition to cesar,,
728,1,2019-03-06 19:49:20,0240 - BIG Program - MTS Integration and TV in NM1,0240 - big program - mts integration and tv in nm1,,
729,1,2019-03-12 16:07:11,0218 - NDW to EDW,0218 - ndw to edw,,
730,44,2019-03-18 19:29:41,0009 - Bond Starx & Crave Plus Enhancements - Delivery,0009 - bond starx & crave plus enhancements - delivery,,
731,49,2019-04-03 13:03:15,0006 - Project Management Services CL02,0006 - project management services cl02,,
732,49,2019-04-03 13:08:01,0006 - Project Management Services CL01,0006 - project management services cl01,,
733,49,2019-04-03 13:21:15,"0013 - Data Genome, Semantic Layer, Subscriber Cam","0013 - data genome, semantic layer, subscriber cam",,
734,1,2019-04-16 16:17:20,0239 - Pulse Support 2019 - Monika Transition Apr,0239 - pulse support 2019 - monika transition apr,This project is to hold the time allocated to the free transition services for Monika,
735,54,2019-04-18 13:54:28,0002 - Architecture Review,0002 - architecture review,,
736,54,2019-04-30 20:55:30,0003 - Talend Production Promotion,0003 - talend production promotion,,
737,25,2019-05-14 14:25:07,0008 - Ad Hoc Support - Phase 7,0008 - ad hoc support - phase 7,,
738,55,2019-05-27 13:59:01,0001 - SI Sense to MicroStrategy Assessment,0001 - si sense to microstrategy assessment,,
739,47,2019-05-28 17:21:30,0003 - Solution Architecture Consulting,0003 - solution architecture consulting,,
740,44,2019-05-30 20:53:03,0009 - Kyvos - POC,0009 - kyvos - poc,,
741,1,2019-06-06 21:47:46,0238 - Horizon Mobile 2019 Q3,0238 - horizon mobile 2019 q3,,
742,57,2019-06-13 14:47:20,0001 - Talend Implementation,0001 - talend implementation,,
743,55,2019-06-24 13:01:29,0002 - SISense to MSTR Migration Execution,0002 - sisense to mstr migration execution,,
744,49,2019-06-24 13:45:51,0014 - TADS Dev Ops,0014 - tads dev ops,,
745,1,2019-07-08 00:37:22,0230 - Incontext & BPI Automation CR01,0230 - incontext & bpi automation cr01,,
746,58,2019-07-10 19:55:42,0001 - Governance & Architecture Strategy,0001 - governance & architecture strategy,,
747,8,2019-07-11 14:26:04,0003 - Lambda and Kinesis R&D,0003 - lambda and kinesis r&d,,
748,1,2019-07-17 10:19:06,0242 - BI Bell Media Analytics 2019 Q3,0242 - bi bell media analytics 2019 q3,,
749,1,2019-07-25 13:57:52,0236 - IT BIG Program – NBA XLOB and Self Serve,0236 - it big program – nba xlob and self serve,,
750,49,2019-07-25 17:16:33,"0013 - CL02 - Semantic Layer, Subscriber Campaign, Smart","0013 - cl02 - semantic layer, subscriber campaign, smart",,
751,1,2019-07-26 15:23:35,0243 - VOLT Project,0243 - volt project,,
752,1,2019-07-26 15:28:36,0244 - VOLT,0244 - volt,,
753,1,2019-07-26 15:34:12,0245 - Dispatch Engine - Half Time Project,0245 - dispatch engine - half time project,,
754,1,2019-07-26 15:39:11,0223 - 0223 - VOLT PM Work,0223 - 0223 - volt pm work,,
755,1,2019-07-26 15:43:39,0221 - MicroStrategy Upgrade 2019,0221 - microstrategy upgrade 2019,,
756,1,2019-07-26 18:54:16,0223 - Integration Enhancement (ATL),0223 - integration enhancement (atl),,
757,1,2019-07-31 00:42:40,0246 - Big Data Program 2019,0246 - big data program 2019,,
758,1,2019-07-31 00:56:03,0246 - Mediaroom DW 3.0 Upgrade,0246 - mediaroom dw 3.0 upgrade,,
759,1,2019-07-31 01:02:06,0246 - MTS Integration,0246 - mts integration,,
760,1,2019-07-31 01:13:06,0247 - Mediaroom DW 3.0 Upgrade,0247 - mediaroom dw 3.0 upgrade,,
761,1,2019-07-31 01:27:07,0248 - FoNSE Airplay,0248 - fonse airplay,,
762,1,2019-07-31 01:30:30,0248 - EMM Project,0248 - emm project,,
763,59,2019-08-06 20:18:00,0001 - MicroStrategy and Data Integration Services,0001 - microstrategy and data integration services,,
